[Trace]   DarkRiftServer        System Details:
[Info]    MMOServerPlugin       Spawned enemy 344
[Info]    MMOServerPlugin       Spawned enemy 345
[Info]    MMOServerPlugin       Spawned enemy 346
[Info]    MMOServerPlugin       Spawned enemy 347
[Info]    MMOServerPlugin       Spawned enemy 348
[Info]    MMOServerPlugin       Spawned enemy 349
[Info]    MMOServerPlugin       Spawned enemy 350
[Info]    MMOServerPlugin       Spawned enemy 351
[Info]    MMOServerPlugin       Spawned enemy 352
[Info]    MMOServerPlugin       Spawned enemy 353
[Info]    MMOServerPlugin       Spawned enemy 354
[Info]    MMOServerPlugin       Spawned enemy 355
[Info]    MMOServerPlugin       Spawned enemy 356
[Info]    MMOServerPlugin       Spawned enemy 357
[Info]    MMOServerPlugin       Spawned enemy 358
[Info]    MMOServerPlugin       Spawned enemy 359
[Info]    MMOServerPlugin       Spawned enemy 360
[Info]    MMOServerPlugin       Spawned enemy 361
[Info]    MMOServerPlugin       Spawned enemy 362
[Info]    MMOServerPlugin       Spawned enemy 363
[Info]    MMOServerPlugin       Spawned enemy 364
[Info]    MMOServerPlugin       Spawned enemy 365
[Info]    MMOServerPlugin       Spawned enemy 366
[Info]    MMOServerPlugin       Spawned enemy 367
[Info]    MMOServerPlugin       Spawned enemy 368
[Info]    MMOServerPlugin       Spawned enemy 369
[Info]    MMOServerPlugin       Spawned enemy 370
[Info]    MMOServerPlugin       Spawned enemy 371
[Info]    MMOServerPlugin       Spawned enemy 372
[Info]    MMOServerPlugin       Spawned enemy 373
[Info]    MMOServerPlugin       Spawned enemy 374
[Info]    MMOServerPlugin       Spawned enemy 375
[Info]    MMOServerPlugin       Spawned enemy 376
[Info]    MMOServerPlugin       Spawned enemy 377
[Info]    MMOServerPlugin       Spawned enemy 378
[Info]    MMOServerPlugin       Spawned enemy 379
[Info]    MMOServerPlugin       Spawned enemy 380
[Info]    MMOServerPlugin       Spawned enemy 381
[Info]    MMOServerPlugin       Spawned enemy 382
[Info]    MMOServerPlugin       Spawned enemy 383
[Info]    MMOServerPlugin       Spawned enemy 384
[Info]    MMOServerPlugin       Spawned enemy 385
[Info]    MMOServerPlugin       Spawned enemy 386
[Info]    MMOServerPlugin       Spawned enemy 387
[Info]    MMOServerPlugin       Spawned enemy 388
[Info]    MMOServerPlugin       Spawned enemy 389
[Info]    MMOServerPlugin       Spawned enemy 390
[Info]    MMOServerPlugin       Spawned enemy 391
[Info]    MMOServerPlugin       Spawned enemy 392
[Info]    MMOServerPlugin       Spawned enemy 393
[Info]    MMOServerPlugin       Spawned enemy 394
