[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Launching server... 
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59794.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:55287.
[Info]    ClientManager         New client [0] connected [127.0.0.1:59794|127.0.0.1:55287].
[Info]    MMOServerPlugin       Position: 0.2859179, 1.743446
[Info]    MMOServerPlugin       Position: 0.2859179, 1.753445
[Info]    MMOServerPlugin       Position: 0.2859179, 1.763401
[Info]    MMOServerPlugin       Position: 0.2859179, 1.773466
[Info]    MMOServerPlugin       Position: 0.2859179, 1.783415
[Info]    MMOServerPlugin       Position: 0.2859179, 1.793925
[Info]    MMOServerPlugin       Position: 0.2859179, 1.803526
[Info]    MMOServerPlugin       Position: 0.2859179, 1.813571
[Info]    MMOServerPlugin       Position: 0.2859179, 1.823586
[Info]    MMOServerPlugin       Position: 0.2859179, 1.833517
[Info]    MMOServerPlugin       Position: 0.2859179, 1.843478
[Info]    MMOServerPlugin       Position: 0.2859179, 1.853633
[Info]    MMOServerPlugin       Position: 0.2859179, 1.86349
[Info]    MMOServerPlugin       Position: 0.2859179, 1.873505
[Info]    MMOServerPlugin       Position: 0.2859179, 1.88348
[Info]    MMOServerPlugin       Position: 0.2859179, 1.893493
[Info]    MMOServerPlugin       Position: 0.2859179, 1.903457
[Info]    MMOServerPlugin       Position: 0.2859179, 1.913471
[Info]    MMOServerPlugin       Position: 0.2859179, 1.923525
[Info]    MMOServerPlugin       Position: 0.2859179, 1.933471
[Info]    MMOServerPlugin       Position: 0.2859179, 1.943723
[Info]    MMOServerPlugin       Position: 0.2859179, 1.95368
[Info]    MMOServerPlugin       Position: 0.2859179, 1.963486
[Info]    MMOServerPlugin       Position: 0.2859179, 1.973473
[Info]    MMOServerPlugin       Position: 0.2859179, 1.983522
[Info]    MMOServerPlugin       Position: 0.2859179, 1.993563
[Info]    MMOServerPlugin       Position: 0.2859179, 2.003496
[Info]    MMOServerPlugin       Position: 0.2859179, 2.013553
[Info]    MMOServerPlugin       Position: 0.2859179, 2.023489
[Info]    MMOServerPlugin       Position: 0.2859179, 2.033702
[Info]    MMOServerPlugin       Position: 0.2859179, 2.054159
[Info]    MMOServerPlugin       Position: 0.2859179, 2.064076
[Info]    MMOServerPlugin       Position: 0.2859179, 2.074012
[Info]    MMOServerPlugin       Position: 0.2859179, 2.08412
[Info]    MMOServerPlugin       Position: 0.2859179, 2.094002
[Info]    MMOServerPlugin       Goodbye adventurer, 0
[Info]    ClientManager         Client [0] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59799.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:54269.
[Info]    ClientManager         New client [1] connected [127.0.0.1:59799|127.0.0.1:54269].
[Info]    MMOServerPlugin       Welcome adventurer, 1
[Info]    MMOServerPlugin       Goodbye adventurer, 1
[Info]    ClientManager         Client [1] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59805.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:51710.
[Info]    ClientManager         New client [2] connected [127.0.0.1:59805|127.0.0.1:51710].
[Info]    MMOServerPlugin       Welcome adventurer, 2
[Info]    MMOServerPlugin       Position: 0.4720067, 0.4626543
[Info]    MMOServerPlugin       Position: 0.4720067, 0.4747478
[Info]    MMOServerPlugin       Position: 0.4720067, 0.4848291
[Info]    MMOServerPlugin       Position: 0.4720067, 0.4947731
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5048059
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5148069
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5247791
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5350782
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5448056
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5547742
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5648094
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5747922
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5848222
[Info]    MMOServerPlugin       Position: 0.4720067, 0.5968722
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6068851
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6168522
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6268949
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6368874
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6469346
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6569386
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6668706
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6769294
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6869066
[Info]    MMOServerPlugin       Position: 0.4720067, 0.6968718
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7074563
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7169053
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7268933
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7372508
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7469233
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7569373
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7668978
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7769478
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7868893
[Info]    MMOServerPlugin       Position: 0.4720067, 0.7969188
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8070216
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8169175
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8269748
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8369375
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8469363
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8569153
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8669773
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8769055
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8869415
[Info]    MMOServerPlugin       Position: 0.4720067, 0.8970122
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9069307
[Info]    MMOServerPlugin       Position: 0.4720067, 0.916977
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9269375
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9370092
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9469237
[Info]    MMOServerPlugin       Position: 0.4720067, 0.956969
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9669809
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9769617
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9870094
[Info]    MMOServerPlugin       Position: 0.4720067, 0.9969234
[Info]    MMOServerPlugin       Position: 0.4720067, 1.00698
[Info]    MMOServerPlugin       Position: 0.4720067, 1.017021
[Info]    MMOServerPlugin       Position: 0.4720067, 1.026977
[Info]    MMOServerPlugin       Position: 0.4720067, 1.036979
[Info]    MMOServerPlugin       Position: 0.4720067, 1.046982
[Info]    MMOServerPlugin       Position: 0.4720067, 1.05697
[Info]    MMOServerPlugin       Position: 0.4720067, 1.066997
[Info]    MMOServerPlugin       Position: 0.4720067, 1.077055
[Info]    MMOServerPlugin       Position: 0.4720067, 1.087499
[Info]    MMOServerPlugin       Position: 0.4720067, 1.097178
[Info]    MMOServerPlugin       Position: 0.4720067, 1.107255
[Info]    MMOServerPlugin       Position: 0.4720067, 1.11759
[Info]    MMOServerPlugin       Position: 0.4720067, 1.133632
[Info]    MMOServerPlugin       Position: 0.4720067, 1.143204
[Info]    MMOServerPlugin       Position: 0.4720067, 1.153086
[Info]    MMOServerPlugin       Position: 0.4720067, 1.163189
[Info]    MMOServerPlugin       Position: 0.4720067, 1.173086
[Info]    MMOServerPlugin       Position: 0.4720067, 1.183123
[Info]    MMOServerPlugin       Position: 0.4720067, 1.193213
[Info]    MMOServerPlugin       Position: 0.4720067, 1.203097
[Info]    MMOServerPlugin       Position: 0.4720067, 1.213126
[Info]    MMOServerPlugin       Position: 0.4720067, 1.223145
[Info]    MMOServerPlugin       Position: 0.4720067, 1.233118
[Info]    MMOServerPlugin       Position: 0.4720067, 1.243169
[Info]    MMOServerPlugin       Position: 0.4720067, 1.253196
[Info]    MMOServerPlugin       Position: 0.4720067, 1.263166
[Info]    MMOServerPlugin       Position: 0.4720067, 1.273261
[Info]    MMOServerPlugin       Position: 0.4720067, 1.283619
[Info]    MMOServerPlugin       Position: 0.4720067, 1.293713
[Info]    MMOServerPlugin       Position: 0.4720067, 1.303958
[Info]    MMOServerPlugin       Position: 0.4720067, 1.313994
[Info]    MMOServerPlugin       Position: 0.4720067, 1.323975
[Info]    MMOServerPlugin       Position: 0.4720067, 1.333955
[Info]    MMOServerPlugin       Position: 0.4720067, 1.343977
[Info]    MMOServerPlugin       Position: 0.4720067, 1.353935
[Info]    MMOServerPlugin       Position: 0.4720067, 1.364062
[Info]    MMOServerPlugin       Position: 0.4720067, 1.37399
[Info]    MMOServerPlugin       Position: 0.4720067, 1.383979
[Info]    MMOServerPlugin       Position: 0.4720067, 1.393952
[Info]    MMOServerPlugin       Position: 0.4720067, 1.407112
[Info]    MMOServerPlugin       Position: 0.4720067, 1.418082
[Info]    MMOServerPlugin       Position: 0.4720067, 1.42806
[Info]    MMOServerPlugin       Position: 0.4720067, 1.438128
[Info]    MMOServerPlugin       Position: 0.4720067, 1.448053
[Info]    MMOServerPlugin       Position: 0.4720067, 1.458145
[Info]    MMOServerPlugin       Position: 0.4720067, 1.468612
[Info]    MMOServerPlugin       Position: 0.4720067, 1.478071
[Info]    MMOServerPlugin       Position: 0.4720067, 1.4881
[Info]    MMOServerPlugin       Position: 0.4720067, 1.498124
[Info]    MMOServerPlugin       Position: 0.4720067, 1.508121
[Info]    MMOServerPlugin       Position: 0.4720067, 1.518081
[Info]    MMOServerPlugin       Position: 0.4720067, 1.52812
[Info]    MMOServerPlugin       Position: 0.4720067, 1.53816
[Info]    MMOServerPlugin       Position: 0.4720067, 1.548103
[Info]    MMOServerPlugin       Position: 0.4720067, 1.558272
[Info]    MMOServerPlugin       Position: 0.4720067, 1.568103
[Info]    MMOServerPlugin       Position: 0.4720067, 1.578135
[Info]    MMOServerPlugin       Position: 0.4720067, 1.588185
[Info]    MMOServerPlugin       Position: 0.4720067, 1.598107
[Info]    MMOServerPlugin       Position: 0.4720067, 1.62373
[Info]    MMOServerPlugin       Position: 0.4720067, 1.634871
[Info]    MMOServerPlugin       Position: 0.4720067, 1.644751
[Info]    MMOServerPlugin       Position: 0.4720067, 1.654904
[Info]    MMOServerPlugin       Position: 0.4720067, 1.664754
[Info]    MMOServerPlugin       Position: 0.4720067, 1.674718
[Info]    MMOServerPlugin       Position: 0.4720067, 1.684801
[Info]    MMOServerPlugin       Position: 0.4720067, 1.694833
[Info]    MMOServerPlugin       Position: 0.4720067, 1.704744
[Info]    MMOServerPlugin       Position: 0.4720067, 1.714867
[Info]    MMOServerPlugin       Position: 0.4720067, 1.724761
[Info]    MMOServerPlugin       Position: 0.4720067, 1.734771
[Info]    MMOServerPlugin       Position: 0.4720067, 1.744814
[Info]    MMOServerPlugin       Position: 0.4720067, 1.754744
[Info]    MMOServerPlugin       Position: 0.4720067, 1.764778
[Info]    MMOServerPlugin       Position: 0.4720067, 1.774795
[Info]    MMOServerPlugin       Position: 0.4720067, 1.784779
[Info]    MMOServerPlugin       Position: 0.4720067, 1.794749
[Info]    MMOServerPlugin       Position: 0.4720067, 1.804796
[Info]    MMOServerPlugin       Position: 0.4720067, 1.814753
[Info]    MMOServerPlugin       Position: 0.4720067, 1.824768
[Info]    MMOServerPlugin       Position: 0.4720067, 1.8349
[Info]    MMOServerPlugin       Position: 0.4720067, 1.845272
[Info]    MMOServerPlugin       Position: 0.4720067, 1.854776
[Info]    MMOServerPlugin       Position: 0.4720067, 1.864804
